"Localité","Lattitude","Longitude","Parc naturel"
"Auzon",45.3904, 3.3708,"Parc naturel du livradois forez"
"Vezezoux",45.4034, 3.3471,"Aucun"
"Apchat",45.3781, 3.1612,"Parc naturel des volcans d'auvergne"
"Ardes sur Couze",45.3977, 3.1271,"Parc naturel des volcans d'auvergne"
"Esteil",45.4526, 3.3651,"Parc naturel du livradois forez"
"Chassignolles",45.4027, 3.4858,"Aucun"
"Saint Martin d'Ollières",45.4173, 3.4539,"Aucun"
"Saint Hilaire",45.382, 3.4457,"Parc naturel du livradois forez"
"Laval sur Doulon",45.3568, 3.5657,"Parc naturel du livradois forez"
"Azerat",45.3532, 3.3959,"Aucun"
"Anzat le luguet",45.3264, 3.0104,"Parc naturel des volcans d'auvergne"
"Valbeleix",45.4761, 2.9895,"Parc naturel des volcans d'auvergne"
"Boudes",45.4535, 3.1841,"Aucun"
"Vichel",45.4244, 3.2432,"Aucun"
"Champagnat le jeune",45.4426, 3.4235,"Parc naturel du livradois forez"
"Lorlanges",45.3249, 3.2612,"Aucun"
"Lavaudieu",45.2632, 3.456,"Aucun"
"Frugières le pin",45.2716, 3.4961,"Parc naturel du livradois forez"
"Sainte Anastasie",45.1796, 2.9722,"Parc naturel des volcans d'auvergne"
"Charmensac",45.2255, 3.0747,"Parc naturel des volcans d'auvergne"
"Molompize",45.2275, 3.1288,"Aucun"
"Laurie",45.2839, 3.0848,"Parc naturel des volcans d'auvergne"
"Blesle",45.3108, 3.1759,"Aucun"
"Javaugues",45.2918, 3.4916,"Parc naturel du livradois forez"
"Montclard",45.2618, 3.5773,"Aucun"
"Collat",45.2461, 3.5966,"Aucun"
"Josat",45.2163, 3.6127,"Parc naturel du livradois forez"
"Chavaniac lafayette",45.1575, 3.5842,"Parc naturel du livradois forez"
"Murat",45.1099, 2.8628,"Parc naturel des volcans d'auvergne"
"Allanche",45.2284, 2.961,"Parc naturel des volcans d'auvergne"
"La chapelle laurent",45.1828, 3.2395,"Aucun"
"Lavoûte chilhac",45.1561, 3.4122,"Aucun"
"Jax",45.1718, 3.6211,"Parc naturel du livradois forez"
"Vissac",45.1044, 3.5997,"Aucun"
"Fix Saint Geneys",45.1403, 3.6632,"Aucun"
"Allègre",45.1862, 3.6875,"Parc naturel du livradois forez"
"Paulhaguet",45.2158, 3.5155,"Aucun"
"Mazérat Aurouze",45.1883, 3.5646,"Parc naturel du livradois forez"
"La Chomette",45.2278, 3.4681,"Aucun"
"Villeneuve d'allier",45.2015, 3.3754,"Aucun"
"Massiac",45.2441, 3.1951,"Aucun"
"Vèze",45.2795, 2.9805,"Parc naturel des volcans d'auvergne"
"Saint Beauzire",45.2733, 3.2779,"Aucun"
"Molèdes",45.2684, 3.0484,"Parc naturel des volcans d'auvergne"
"Auriac l'Eglise",45.2664, 3.1163,"Aucun"
"Saint Pal de Senouire",45.2568, 3.6484,"Parc naturel du livradois forez"
"Sembadel Bourg",45.273, 3.6939,"Parc naturel du livradois forez"
"Berbezit",45.2904, 3.5854,"Parc naturel du livradois forez"
"Vals le chastel",45.2711, 3.5288,"Parc naturel du livradois forez"
"Vieille Brioude",45.2505, 3.4012,"Aucun"
"Dauzat sur Vodable",45.4742, 3.0775,"Parc naturel des volcans d'auvergne"
